"parameter","country","mae","median","mean","lb_95","ub_95","lb_50","ub_50","type","transition","location"
"pCancerProg_S1S2_P","Chile",0.257248905692826,0.222494262328023,0.225004739054842,0.184264790684947,0.262909976060135,0.202144874696657,0.251392906062573,"Cancer Progression (annual prob)","Stage 1 → 2","Proximal"
"pCancerProg_S1S2_D","Chile",0.273673841507356,0.219863712266518,0.224511147669219,0.210979757342192,0.264978415488269,0.214350527073189,0.229086594808227,"Cancer Progression (annual prob)","Stage 1 → 2","Distal"
"pCancerProg_S1S2_R","Chile",0.279380094995179,0.303771794572017,0.300423881047743,0.260606945600718,0.329618017063377,0.285207378549365,0.317260728229989,"Cancer Progression (annual prob)","Stage 1 → 2","Rectal"
"pCancerProg_S2S3_P","Chile",0.221487450852876,0.215360202427771,0.21753359977817,0.19116235466422,0.246237826076756,0.202823863617894,0.232804741944243,"Cancer Progression (annual prob)","Stage 2 → 3","Proximal"
"pCancerProg_S2S3_D","Chile",0.311685807492846,0.228696882486769,0.241357705987272,0.210318481119841,0.325215019572384,0.217571578375888,0.249660286927648,"Cancer Progression (annual prob)","Stage 2 → 3","Distal"
"pCancerProg_S2S3_R","Chile",0.384307811667899,0.361588389671662,0.35850530255647,0.303209066569868,0.391942410475857,0.343629534037349,0.378393470340179,"Cancer Progression (annual prob)","Stage 2 → 3","Rectal"
"pCancerProg_S3S4_P","Chile",0.299995232828186,0.384509698380546,0.375870548861546,0.301726994968916,0.404850761358393,0.361905976361087,0.397441268413471,"Cancer Progression (annual prob)","Stage 3 → 4","Proximal"
"pCancerProg_S3S4_D","Chile",0.4609990480011,0.410209781774135,0.411726294308586,0.335400640699574,0.493660817049754,0.381127711413781,0.440608201410049,"Cancer Progression (annual prob)","Stage 3 → 4","Distal"
"pCancerProg_S3S4_R","Chile",0.58516192147626,0.51968554293249,0.484233947981081,0.304251498294722,0.587992573723783,0.443349216363872,0.552595376365508,"Cancer Progression (annual prob)","Stage 3 → 4","Rectal"
"pSxDetS1_P","Chile",0.0308902324840304,0.017433543303611,0.020146186413425,0.0140311455497238,0.032585671493628,0.0159591380063481,0.0250430513745676,"Symptom Detection (prob)","Stage 1 → 2","Proximal"
"pSxDetS1_D","Chile",0.0237183793102131,0.0220178281590352,0.0221251191322185,0.018598485092194,0.0262336843654074,0.0207035678842706,0.0233951933481243,"Symptom Detection (prob)","Stage 1 → 2","Distal"
"pSxDetS1_R","Chile",0.0288819896702691,0.0364066341687672,0.0356232461319926,0.0284258580463522,0.0383170068393227,0.0346082220617946,0.037497737955771,"Symptom Detection (prob)","Stage 1 → 2","Rectal"
"pSxDetS2_P","Chile",0.130860964829872,0.115034475968276,0.118315008070321,0.099241413153469,0.146413763148968,0.108430538766152,0.127228694590639,"Symptom Detection (prob)","Stage 2 → 3","Proximal"
"pSxDetS2_D","Chile",0.177166425339515,0.118630767263409,0.126161952122539,0.102175895291664,0.184891662014221,0.110720001211764,0.132627810877095,"Symptom Detection (prob)","Stage 2 → 3","Distal"
"pSxDetS2_R","Chile",0.160206365680031,0.150770467767901,0.149966035948708,0.121670533098523,0.172319230525755,0.141446257420737,0.159475208303394,"Symptom Detection (prob)","Stage 2 → 3","Rectal"
"pSxDetS3_P","Chile",0.439002896410256,0.53651719374515,0.526241832064113,0.41148613134505,0.597435339494709,0.498817561228187,0.560625217605629,"Symptom Detection (prob)","Stage 3 → 4","Proximal"
"pSxDetS3_D","Chile",0.549220365486291,0.488444388405113,0.490683552169562,0.388888652873175,0.608527341731769,0.449676321239938,0.529762759336367,"Symptom Detection (prob)","Stage 3 → 4","Distal"
"pSxDetS3_R","Chile",0.837186224031685,0.794082194980111,0.752582853571582,0.546270021708014,0.85337300242988,0.708728763631353,0.824757708542191,"Symptom Detection (prob)","Stage 3 → 4","Rectal"
"pSxDetS4_P","Chile",0.998042153726426,0.9993820129476,0.998883166428759,0.9947554014179,0.99990157803527,0.998741957714158,0.99969835434657,"Symptom Detection (prob)","Stage 4 (detection)","Proximal"
"pSxDetS4_D","Chile",0.999142897531497,0.999166884870128,0.998631278849026,0.994118214332246,0.999946816767334,0.998200338198582,0.999679371803662,"Symptom Detection (prob)","Stage 4 (detection)","Distal"
"pSxDetS4_R","Chile",0.999999963351982,0.999998372859343,0.999871411022646,0.998894108893141,0.999999967806617,0.999973301084643,0.99999960238455,"Symptom Detection (prob)","Stage 4 (detection)","Rectal"
"pCancerProg_S1S2_P","USA",0.19220367813574,0.184899873580156,0.186388087702592,0.181428893740253,0.199870824981082,0.182767802425474,0.1885053017464,"Cancer Progression (annual prob)","Stage 1 → 2","Proximal"
"pCancerProg_S1S2_D","USA",0.239652159880015,0.257307740848039,0.252837612577618,0.215744518322836,0.273367571899535,0.241175620958277,0.266573699920341,"Cancer Progression (annual prob)","Stage 1 → 2","Distal"
"pCancerProg_S1S2_R","USA",0.263874950714504,0.293124188918368,0.29324672031753,0.259422262254205,0.328487074872839,0.275956094769842,0.311035350919262,"Cancer Progression (annual prob)","Stage 1 → 2","Rectal"
"pCancerProg_S2S3_P","USA",0.206297426538816,0.231928688272237,0.227582576354813,0.192927331395287,0.246554397919761,0.215308614478916,0.241544891592412,"Cancer Progression (annual prob)","Stage 2 → 3","Proximal"
"pCancerProg_S2S3_D","USA",0.313841403398139,0.289385595939067,0.284329457675848,0.217696271733214,0.3270851214557,0.26423645876538,0.309573109226578,"Cancer Progression (annual prob)","Stage 2 → 3","Distal"
"pCancerProg_S2S3_R","USA",0.340726085374716,0.303878851092461,0.310225660727146,0.247200577837461,0.386542740807298,0.278436328238372,0.34315035392792,"Cancer Progression (annual prob)","Stage 2 → 3","Rectal"
"pCancerProg_S3S4_P","USA",0.292160407973955,0.305619968817335,0.311936559244671,0.285635590751477,0.371256865453191,0.293613460888451,0.323853353044114,"Cancer Progression (annual prob)","Stage 3 → 4","Proximal"
"pCancerProg_S3S4_D","USA",0.419683023383394,0.392397086742732,0.39335263376444,0.295495912103522,0.495985603693497,0.347929726589154,0.439593268478546,"Cancer Progression (annual prob)","Stage 3 → 4","Distal"
"pCancerProg_S3S4_R","USA",0.382619378791654,0.533558708873742,0.484985085400392,0.308651747233894,0.591950879003957,0.384270873412979,0.576075036733063,"Cancer Progression (annual prob)","Stage 3 → 4","Rectal"
"pSxDetS1_P","USA",0.0255058663824415,0.0261808578232141,0.0261996515431869,0.0226694769581713,0.0299935581955841,0.0249070075800256,0.0274244119350821,"Symptom Detection (prob)","Stage 1 → 2","Proximal"
"pSxDetS1_D","USA",0.0616601511481639,0.067154465662402,0.0663119452612127,0.0539856491765287,0.0771478909556373,0.0621543705331824,0.0705228998054716,"Symptom Detection (prob)","Stage 1 → 2","Distal"
"pSxDetS1_R","USA",0.122178718542866,0.139741845110432,0.14010623477929,0.120661498217227,0.16131046845658,0.131551022361361,0.148481531442078,"Symptom Detection (prob)","Stage 1 → 2","Rectal"
"pSxDetS2_P","USA",0.18905197296641,0.224540897382642,0.222104145924366,0.184382805874713,0.253644328412341,0.208000463236399,0.236856373391177,"Symptom Detection (prob)","Stage 2 → 3","Proximal"
"pSxDetS2_D","USA",0.308284259869704,0.281814137554014,0.278577023885888,0.21126138723677,0.335354226474415,0.254132923298104,0.304616654214275,"Symptom Detection (prob)","Stage 2 → 3","Distal"
"pSxDetS2_R","USA",0.262146464421049,0.213198984622056,0.221871563400589,0.145056546967016,0.322968149405835,0.177677945173211,0.265039834937323,"Symptom Detection (prob)","Stage 2 → 3","Rectal"
"pSxDetS3_P","USA",0.398316237728983,0.432093528713678,0.436645580939144,0.385309905556577,0.515405265584705,0.414377595073987,0.452759936924233,"Symptom Detection (prob)","Stage 3 → 4","Proximal"
"pSxDetS3_D","USA",0.515732770768745,0.488329914939316,0.489594514341439,0.368367232551345,0.612086522363527,0.43761733106644,0.542650848301474,"Symptom Detection (prob)","Stage 3 → 4","Distal"
"pSxDetS3_R","USA",0.475072404948474,0.594410399113905,0.559153359369998,0.352979901800673,0.69848891439817,0.466738048080698,0.646308782225559,"Symptom Detection (prob)","Stage 3 → 4","Rectal"
"pSxDetS4_P","USA",0.439272131443854,0.61012363305086,0.628858973710201,0.422420945479748,0.911377892209525,0.514216573696659,0.733085310239814,"Symptom Detection (prob)","Stage 4 (detection)","Proximal"
"pSxDetS4_D","USA",0.924947289885273,0.92727497846526,0.905161167731712,0.646950238398035,0.986087549263107,0.881464869056301,0.958788587418521,"Symptom Detection (prob)","Stage 4 (detection)","Distal"
"pSxDetS4_R","USA",0.928517266366605,0.959807994367709,0.919677184855072,0.60011676474303,0.996045242205449,0.8934601503204,0.985962978348443,"Symptom Detection (prob)","Stage 4 (detection)","Rectal"
